date,open,close,high,low,vol,amount(thousand),amplitude(%),pct_chg(%),change,换手率(%)
2001-05-18,0.89,1.44,1.72,0.81,213989,1736480.0,-189.58,400.0,1.92,85.6
2001-05-21,1.3,1.23,1.37,1.22,53643,468894.0,10.42,-14.58,-0.21,21.46
2001-05-22,1.22,1.24,1.3,1.21,15656,135467.0,7.32,0.81,0.01,6.26
2001-05-23,1.26,1.34,1.34,1.24,19717,173211.0,8.06,8.06,0.1,7.89
2001-05-24,1.35,1.16,1.36,1.15,21190,182737.0,15.67,-13.43,-0.18,8.48
2001-05-25,1.14,1.07,1.19,1.06,22030,180565.0,11.21,-7.76,-0.09,8.81
2001-05-29,1.06,1.0,1.09,0.99,11335,91013.0,9.35,-6.54,-0.07,4.53
2001-05-30,1.0,1.08,1.09,0.97,7616,60678.0,12.0,8.0,0.08,3.05
2001-05-31,1.08,1.01,1.08,0.99,6006,48063.0,8.33,-6.48,-0.07,2.4
2001-06-01,1.01,1.08,1.08,0.99,4383,35253.0,8.91,6.93,0.07,1.75
2001-06-04,1.07,1.06,1.08,1.04,2341,18922.0,3.7,-1.85,-0.02,0.94
2001-06-05,1.06,1.05,1.11,1.04,2807,22857.0,6.6,-0.94,-0.01,1.12
2001-06-06,1.05,1.02,1.06,1.0,4808,38370.0,5.71,-2.86,-0.03,1.92
2001-06-07,1.01,0.98,1.03,0.97,4940,39099.0,5.88,-3.92,-0.04,1.98
2001-06-08,0.98,1.0,1.01,0.97,2380,18792.0,4.08,2.04,0.02,0.95
2001-06-11,1.0,0.94,1.0,0.93,6190,48224.0,7.0,-6.0,-0.06,2.48
2001-06-12,0.94,0.92,0.96,0.92,5007,38663.0,4.26,-2.13,-0.02,2.0
2001-06-13,0.92,1.04,1.04,0.92,8229,64703.0,13.04,13.04,0.12,3.29
2001-06-14,1.02,0.96,1.04,0.96,7442,58754.0,7.69,-7.69,-0.08,2.98
2001-06-15,0.95,1.04,1.11,0.94,13991,112594.0,17.71,8.33,0.08,5.6
2001-06-18,1.06,1.03,1.06,1.0,3353,26886.0,5.77,-0.96,-0.01,1.34
2001-06-19,1.03,1.05,1.09,1.03,4544,36969.0,5.83,1.94,0.02,1.82
2001-06-20,1.05,0.99,1.07,0.97,2415,19232.0,9.52,-5.71,-0.06,0.97
2001-06-21,0.99,1.01,1.03,0.98,3475,27687.0,5.05,2.02,0.02,1.39
2001-06-22,1.01,1.0,1.04,0.99,2645,21101.0,4.95,-0.99,-0.01,1.06
2001-06-25,1.0,0.99,1.01,0.98,2721,21483.0,3.0,-1.0,-0.01,1.09
2001-06-28,0.99,0.95,0.99,0.94,4447,34754.0,5.05,-4.04,-0.04,1.78
2001-07-03,0.95,0.96,0.96,0.94,1113,8652.0,2.11,1.05,0.01,0.45
2001-07-04,0.95,0.99,1.01,0.95,3528,27814.0,6.25,3.13,0.03,1.41
2001-07-05,0.98,1.02,1.07,0.98,12886,103586.0,9.09,3.03,0.03,5.15
2001-07-06,1.03,1.0,1.04,0.99,1485,11832.0,4.9,-1.96,-0.02,0.59
2001-07-09,1.0,0.97,1.02,0.95,1812,14200.0,7.0,-3.0,-0.03,0.72
2001-07-11,0.97,0.98,1.0,0.95,1535,11991.0,5.15,1.03,0.01,0.61
2001-07-12,0.98,0.96,0.98,0.95,763,5958.0,3.06,-2.04,-0.02,0.31
2001-07-13,0.97,0.97,0.99,0.96,1200,9401.94,3.13,1.04,0.01,0.48
2001-07-16,0.99,0.94,1.0,0.92,2231,17354.0,8.25,-3.09,-0.03,0.89
2001-07-17,0.93,0.86,0.95,0.84,4790,36341.0,11.7,-8.51,-0.08,1.92
2001-07-18,0.85,0.87,0.88,0.85,2085,15681.0,3.49,1.16,0.01,0.83
2001-07-19,0.87,0.86,0.88,0.85,799,6006.0,3.45,-1.15,-0.01,0.32
2001-07-20,0.88,0.87,0.92,0.87,2797,21338.0,5.81,1.16,0.01,1.12
2001-07-23,0.88,0.85,0.88,0.84,2769,20793.0,4.6,-2.3,-0.02,1.11
2001-07-24,0.84,0.8,0.84,0.79,4364,32212.0,5.88,-5.88,-0.05,1.75
2001-07-25,0.78,0.73,0.8,0.71,2906,20946.0,11.25,-8.75,-0.07,1.16
2001-07-26,0.71,0.67,0.74,0.66,4493,31543.0,10.96,-8.22,-0.06,1.8
2001-07-27,0.67,0.58,0.68,0.58,3538,24058.0,14.93,-13.43,-0.09,1.42
2001-07-30,0.57,0.47,0.57,0.47,4255,27602.0,17.24,-18.97,-0.11,1.7
2001-08-01,0.47,0.52,0.53,0.47,1821,11867.0,12.77,10.64,0.05,0.73
2001-08-02,0.52,0.44,0.52,0.39,2772,17501.0,25.0,-15.38,-0.08,1.11
2001-08-06,0.4,0.26,0.42,0.23,5526,32684.0,43.18,-40.91,-0.18,2.21
2001-08-07,0.25,0.29,0.33,0.21,3424,19756.0,46.15,11.54,0.03,1.37
2001-08-08,0.29,0.26,0.3,0.24,1307,7597.0,20.69,-10.34,-0.03,0.52
2001-08-09,0.27,0.34,0.35,0.26,1379,8188.0,34.62,30.77,0.08,0.55
2001-08-10,0.37,0.37,0.38,0.34,2758,16863.0,11.76,8.82,0.03,1.1
2001-08-13,0.37,0.36,0.37,0.33,1483,8978.0,10.81,-2.7,-0.01,0.59
2001-08-14,0.37,0.4,0.43,0.35,2425,14970.0,22.22,11.11,0.04,0.97
2001-08-15,0.4,0.36,0.4,0.35,909,5533.0,12.5,-10.0,-0.04,0.36
2001-08-16,0.35,0.29,0.35,0.29,2176,12900.0,16.67,-19.44,-0.07,0.87
2001-08-17,0.29,0.31,0.32,0.26,1677,9913.0,20.69,6.9,0.02,0.67
2001-08-20,0.31,0.3,0.31,0.27,695,4099.0,12.9,-3.23,-0.01,0.28
2001-08-21,0.27,0.33,0.34,0.27,1736,10397.0,23.33,10.0,0.03,0.69
2001-08-22,0.33,0.26,0.33,0.25,1840,10710.0,24.24,-21.21,-0.07,0.74
2001-08-24,0.25,0.24,0.29,0.23,875,5065.0,23.08,-7.69,-0.02,0.35
2001-08-27,0.23,0.16,0.23,0.16,2909,16258.0,29.17,-33.33,-0.08,1.16
2001-08-28,0.15,0.15,0.15,0.1,2472,13372.0,31.25,-6.25,-0.01,0.99
2001-08-29,0.17,0.18,0.22,0.15,3325,18541.0,46.67,20.0,0.03,1.33
2001-08-30,0.18,0.16,0.19,0.15,798,4416.0,22.22,-11.11,-0.02,0.32
2001-08-31,0.22,0.19,0.23,0.16,2701,15153.0,43.75,18.75,0.03,1.08
2001-09-04,0.19,0.25,0.25,0.19,3874,22142.0,31.58,31.58,0.06,1.55
2001-09-05,0.26,0.24,0.27,0.23,2436,14041.0,16.0,-4.0,-0.01,0.97
2001-09-06,0.22,0.22,0.25,0.21,1854,10604.0,16.67,-8.33,-0.02,0.74
2001-09-07,0.22,0.17,0.22,0.17,1963,10975.0,22.73,-22.73,-0.05,0.79
2001-09-10,0.13,0.22,0.25,0.09,4974,27682.0,94.12,29.41,0.05,1.99
2001-09-12,0.16,0.17,0.19,0.12,2216,12249.0,31.82,-22.73,-0.05,0.89
2001-09-13,0.16,0.21,0.25,0.16,4190,23743.0,52.94,23.53,0.04,1.68
2001-09-14,0.21,0.2,0.23,0.2,927,5237.0,14.29,-4.76,-0.01,0.37
2001-09-17,0.18,0.22,0.22,0.16,1044,5829.0,30.0,10.0,0.02,0.42
2001-09-18,0.19,0.25,0.26,0.19,2250,12944.0,31.82,13.64,0.03,0.9
2001-09-19,0.25,0.28,0.28,0.22,2358,13689.0,24.0,12.0,0.03,0.94
